Binary+object+recognition+system+on+FPGA+with+bSOM. 0
Resource+constrained+mapping+of+data+flow+graphs+onto+coarse-grained+reconfigurable+array. 0
Design+of+a+link-controller+architecture+for+multiple+serial+link+protocols. 0
High-Performance+random+data+lookup+for+network+processing. 0
A+65nm+CMOS+ultra+low+power+and+low+noise+131M+front-end+transimpedance+amplifier. 0
A+CMOS+low-power+low-offset+and+high-speed+fully+dynamic+latched+comparator. 0
A+CMOS+6+bit+250MS/s+A/D+converter+with+input+voltage+range+detectors. 0
Clock+buffer+with+duty+cycle+corrector. 0
A+70dB+SNDR+10-MHz+BW+hybrid+delta-sigma/pipeline+ADC+in+0.18-&#181;m+CMOS. 0
8Gbps+high-speed+I/O+transmitter+with+scalable+speed,+swing+and+equalization+levels. 0
Run-time+configuration+prefetching+to+reduce+the+overhead+of+dynamically+reconfiguration. 0
A+multi-channel+frequency+detection+and+monitoring+system. 0
Process+technology+and+design+parameter+impact+on+SRAM+Bit-Cell+Sleep+effectiveness. 0
Interconnect+system+compression+analysis+for+multi-core+architectures. 0
Fan-in+sensitive+low+power+dynamic+circuits+performance+statistical+characterization. 0
Energy+efficient+computation+with+self-adaptive+single-ended+body+bias. 0
Power+minimization+methodology+for+VCTL+topologies. 0
Hybrid+MOSFET/CNFET+based+power+gating+structure. 0
Comparison+of+performance+parameters+of+SRAM+designs+in+16nm+CMOS+and+CNTFET+technologies. 0
A+BDD-based+approach+to+design+power-aware+on-line+detectors+for+digital+circuits. 0
An+efficient+VLSI+architecture+for+extended+variable+block+sizes+motion+estimation. 0
A+multimedia+content+generation+methodology+in+support+to+SOC+decoder+development+and+validation. 0
Effect+of+a+polywell+leometry+on+a+CMOS+photodiode+array. 0
MMPI:+A+flexible+and+efficient+multiprocessor+message+passing+interface+for+NoC-based+MPSoC. 0
A+method+for+efficient+NoC+test+scheduling+using+deterministic+routing. 0
Flow+oriented+routing+for+NOCS. 0
A+globally-interconnected+modular+CMP+system+with+communication+on+the+fly. 0
Energy+and+delay-aware+mapping+for+real-time+digital+processing+system+on+network+on+chip+platforms. 0
Thermal+modelling+of+3D+multicore+systems+in+a+flip-chip+package. 0
Efficient+multicasting+scheme+for+irregular+mesh-based+NoCs. 0
Towards+formal+system-level+verification+of+security+requirements+during+hardware/software+codesign. 0
Thermal+via+planning+for+temperature+reduction+in+3D+ICs. 0
A+design+procedure+of+predictive+RF+MOSFET+model+for+compatibility+with+ITRS. 0
What+You+Need+to+Know+About+Patent+Litigation. 0
A+novel+architectural+approach+for+control+architectures+in+RF+transceivers. 0
A+mixed-signal+timing+circuit+in+90nm+CMOS+for+energy+detection+IR-UWB+receivers. 0
A+novel+architecture+for+discrete+chaotic+signal+generators. 0
Quality-driven+SoC+architecture+synthesis+for+embedded+applications. 0
DyML:+Dynamic+Multi-Level+flow+control+for+Networks+on+Chip. 0
A+prediction-based,+data+Migration+Algorithm+for+hybrid+Architecture+NoC+systems. 0
FoN:+Fault-on-Neighbor+aware+routing+algorithm+for+Networks-on-Chip. 0
Simulation+based+study+of+on-chip+antennas+for+a+reconfigurable+hybrid+3D+wireless+NoC. 0
A+differential+read+subthreshold+SRAM+bitcell+with+self-adaptive+leakage+cut+off+scheme. 0
Low+power+nonvolatile+SRAM+circuit+with+integrated+low+voltage+nanocrystal+PMOS+Flash. 0
Handling+shared+variable+synchronization+in+multi-core+Network-on-Chips+with+distributed+memory. 0
Low-energy+configurable+syndrome/chien+search+multi-channel+Reed+Solomon+decoder. 0
Run-time+communication+bypassing+for+energy-efficient,+low-latency+per-core+DVFS+on+Network-on-Chip. 0
Comparative+performance+evaluation+of+wireless+and+optical+NoC+architectures. 0
Hermes-AA:+A+65nm+asynchronous+NoC+router+with+adaptive+routing. 0
Power+analysis+for+Asynchronous+CLICH&#201;+Network-on-Chip. 0
Way-load+balancing+scheme+for+mobile+cache+LRU+replacement. 0
Exploiting+large+on-chip+memory+space+through+data+recomputation. 0
Dependable+SRAM+with+enhanced+read-/write-margins+by+fine-grained+assist+bias+control+for+low-voltage+operation. 0
